config,method,granularity,c_build,zero_shot_success,zero_shot_avg_steps,c_adapt_at_conv,c_total_at_conv,converged_success,converged_avg_steps,conv_reason
B_seq_G1_L420,B_sequential_cost_adapt,G1,420000,0.6666666666666666,51.4,35000,455000,1.0,26.166666666666668,success_ge_0.95
B_seq_G2_L245,B_sequential_cost_adapt,G2,245000,0.6,52.166666666666664,52500,297500,0.7,36.2,plateau_two_gains_lt_0.02
