chain_name,method,source_label,env_id,granularity,final_target,episodes,seed,deterministic,c_single,c_agg,c_adapt,c_build,c_total,final_success_rate,chain_completion_rate,avg_total_steps,modules,module_success/has_key,module_steps/has_key,module_success/opened_door,module_steps/opened_door,module_success/near_key,module_steps/near_key,module_success/near_key_to_has_key,module_steps/near_key_to_has_key,module_success/has_key_to_opened_door,module_steps/has_key_to_opened_door,module_success/approach_key,module_steps/approach_key,module_success/pickup_key,module_steps/pickup_key,module_success/approach_door,module_steps/approach_door,module_success/toggle_door,module_steps/toggle_door
C_joint_G0_adapt0,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,0,490000,0,490000,490000,0.31,0.31,60.833333333333336,has_key -> opened_door,1.0,11.066666666666666,0.31,49.766666666666666,,,,,,,,,,,,,,
C_joint_G1_adapt0,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,0,490000,0,490000,490000,0.2733333333333333,0.2733333333333333,63.67333333333333,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,6.8133333333333335,0.52,40.59,0.5256410256410257,31.28846153846154,,,,,,,,
C_joint_G2_adapt0,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,0,490000,0,490000,490000,0.99,0.99,23.813333333333333,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,5.203333333333333,0.9933333333333333,3.966666666666667,0.9966442953020134,13.734899328859061,1.0,1.0101010101010102
C_joint_G0_adapt35,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,0,490000,35000,490000,525000,0.3566666666666667,0.3566666666666667,59.05,has_key -> opened_door,1.0,10.59,0.3566666666666667,48.46,,,,,,,,,,,,,,
C_joint_G1_adapt35,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,0,490000,35000,490000,525000,0.56,0.56,52.92666666666667,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,6.283333333333333,0.69,30.576666666666668,0.8115942028985508,23.285024154589372,,,,,,,,
C_joint_G2_adapt35,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,0,490000,35000,490000,525000,0.9866666666666667,0.9866666666666667,20.30666666666667,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,5.116666666666666,0.9866666666666667,4.23,1.0,10.10472972972973,1.0,1.0033783783783783
C_joint_G0_adapt70,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,0,490000,70000,490000,560000,0.4,0.4,57.736666666666665,has_key -> opened_door,1.0,8.173333333333334,0.4,49.56333333333333,,,,,,,,,,,,,,
C_joint_G1_adapt70,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,0,490000,70000,490000,560000,0.65,0.65,45.21666666666667,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.703333333333333,0.7066666666666667,29.016666666666666,0.9198113207547169,14.85377358490566,,,,,,,,
C_joint_G2_adapt70,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,0,490000,70000,490000,560000,0.9866666666666667,0.9866666666666667,18.703333333333333,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,4.883333333333334,0.99,4.316666666666666,0.9966329966329966,8.602693602693602,1.0,1.0
C_joint_G0_adapt140,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,0,490000,140000,490000,630000,0.33666666666666667,0.33666666666666667,57.86333333333334,has_key -> opened_door,1.0,7.9,0.33666666666666667,49.96333333333333,,,,,,,,,,,,,,
C_joint_G1_adapt140,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,0,490000,140000,490000,630000,0.7466666666666667,0.7466666666666667,38.46333333333333,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.1866666666666665,0.7666666666666667,24.11,0.9739130434782609,11.956521739130435,,,,,,,,
C_joint_G2_adapt140,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,0,490000,140000,490000,630000,1.0,1.0,14.293333333333333,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,4.413333333333333,1.0,3.0933333333333333,1.0,5.783333333333333,1.0,1.0033333333333334
