chain_name,method,source_label,env_id,granularity,final_target,episodes,seed,deterministic,c_single,c_agg,c_adapt,c_build,c_total,final_success_rate,chain_completion_rate,avg_total_steps,modules,module_success/has_key,module_steps/has_key,module_success/opened_door,module_steps/opened_door,module_success/near_key,module_steps/near_key,module_success/near_key_to_has_key,module_steps/near_key_to_has_key,module_success/has_key_to_opened_door,module_steps/has_key_to_opened_door,module_success/approach_key,module_steps/approach_key,module_success/pickup_key,module_steps/pickup_key,module_success/approach_door,module_steps/approach_door,module_success/toggle_door,module_steps/toggle_door
A_pool_G0_doorkey_zero,A_expert_pool_source_chain,DoorKey,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.2966666666666667,0.2966666666666667,62.093333333333334,has_key -> opened_door,0.7366666666666667,28.24,0.40271493212669685,45.95475113122172,,,,,,,,,,,,,,
A_pool_G0_unlocklocal_zero,A_expert_pool_source_chain,UnlockLocal,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.13333333333333333,0.13333333333333333,68.65666666666667,has_key -> opened_door,0.98,21.833333333333332,0.1360544217687075,47.77891156462585,,,,,,,,,,,,,,
A_pool_G0_unlockpickup_zero,A_expert_pool_source_chain,UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.3466666666666667,0.3466666666666667,60.99666666666667,has_key -> opened_door,0.9966666666666667,13.776666666666667,0.34782608695652173,47.37792642140468,,,,,,,,,,,,,,
A_pool_G1_doorkey_zero,A_expert_pool_source_chain,DoorKey,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.7333333333333333,0.7333333333333333,42.52,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,0.9933333333333333,9.543333333333333,0.9362416107382551,12.761744966442953,0.7885304659498208,21.827956989247312,,,,,,,,
A_pool_G1_unlocklocal_zero,A_expert_pool_source_chain,UnlockLocal,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.13666666666666666,0.13666666666666666,67.41333333333333,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,7.526666666666666,0.9666666666666667,11.77,0.1413793103448276,49.775862068965516,,,,,,,,
A_pool_G1_unlockpickup_zero,A_expert_pool_source_chain,UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.7466666666666667,0.7466666666666667,45.64,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.2,0.9766666666666667,11.206666666666667,0.764505119453925,29.931740614334473,,,,,,,,
A_pool_G2_doorkey_zero,A_expert_pool_source_chain,DoorKey,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.9266666666666666,0.9266666666666666,27.293333333333333,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,9.903333333333334,0.9333333333333333,9.66,0.9964285714285714,7.025,0.996415770609319,1.2616487455197132
A_pool_G2_unlocklocal_zero,A_expert_pool_source_chain,UnlockLocal,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.53,0.53,52.38,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,5.676666666666667,0.9333333333333333,12.123333333333333,0.5714285714285714,36.457142857142856,0.99375,1.0375
A_pool_G2_unlockpickup_zero,A_expert_pool_source_chain,UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,1050000,0,0,1050000,1050000,0.93,0.93,24.996666666666666,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,5.1066666666666665,0.9366666666666666,13.693333333333333,0.9928825622775801,5.462633451957295,1.0,1.1612903225806452
